样本ID,人群,时期,年龄_年前
0,YRI,现代,0
1,YRI,现代,0
2,YRI,现代,0
3,YRI,现代,0
4,YRI,现代,0
5,YRI,现代,0
6,YRI,现代,0
7,YRI,现代,0
8,YRI,现代,0
9,YRI,现代,0
10,YRI,现代,0
11,YRI,现代,0
12,YRI,现代,0
13,YRI,现代,0
14,YRI,现代,0
15,YRI,现代,0
16,YRI,现代,0
17,YRI,现代,0
18,YRI,现代,0
19,YRI,现代,0
20,YRI,现代,0
21,YRI,现代,0
22,YRI,现代,0
23,YRI,现代,0
24,YRI,现代,0
25,YRI,现代,0
26,YRI,现代,0
27,YRI,现代,0
28,YRI,现代,0
29,YRI,古代_近期,5000
30,YRI,现代,0
31,YRI,现代,0
32,YRI,现代,0
33,YRI,现代,0
34,YRI,现代,0
35,YRI,现代,0
36,YRI,现代,0
37,YRI,现代,0
38,YRI,现代,0
39,YRI,现代,0
40,YRI,现代,0
41,YRI,现代,0
42,YRI,现代,0
43,YRI,现代,0
44,YRI,现代,0
45,YRI,现代,0
46,YRI,现代,0
47,YRI,现代,0
48,YRI,现代,0
49,YRI,现代,0
50,YRI,现代,0
51,YRI,现代,0
52,YRI,现代,0
53,YRI,现代,0
54,YRI,现代,0
55,YRI,现代,0
56,YRI,古代_近期,5000
57,YRI,现代,0
58,YRI,现代,0
59,YRI,现代,0
60,YRI,现代,0
61,YRI,现代,0
62,YRI,现代,0
63,YRI,现代,0
64,YRI,现代,0
65,YRI,古代_近期,5000
66,YRI,现代,0
67,YRI,现代,0
68,YRI,现代,0
69,YRI,古代_近期,5000
70,YRI,古代_近期,5000
71,YRI,现代,0
72,YRI,现代,0
73,YRI,现代,0
74,YRI,现代,0
75,YRI,现代,0
76,YRI,现代,0
77,YRI,现代,0
78,YRI,现代,0
79,YRI,现代,0
80,YRI,现代,0
81,YRI,现代,0
82,YRI,现代,0
83,YRI,现代,0
84,YRI,现代,0
85,YRI,现代,0
86,YRI,现代,0
87,YRI,现代,0
88,YRI,现代,0
89,YRI,现代,0
90,YRI,现代,0
91,YRI,现代,0
92,YRI,现代,0
93,YRI,现代,0
94,YRI,现代,0
95,YRI,现代,0
96,YRI,现代,0
97,YRI,现代,0
98,YRI,现代,0
99,YRI,古代_近期,5000
100,YRI,现代,0
101,YRI,现代,0
102,YRI,现代,0
103,YRI,现代,0
104,YRI,现代,0
105,YRI,现代,0
106,YRI,现代,0
107,YRI,现代,0
108,YRI,现代,0
109,YRI,现代,0
110,YRI,现代,0
111,YRI,古代_近期,5000
112,YRI,现代,0
113,YRI,现代,0
114,YRI,现代,0
115,YRI,现代,0
116,YRI,现代,0
117,YRI,现代,0
118,YRI,现代,0
119,YRI,现代,0
120,YRI,古代_远期,25000
121,YRI,现代,0
122,YRI,现代,0
123,YRI,现代,0
124,YRI,古代_近期,5000
125,YRI,现代,0
126,YRI,现代,0
127,YRI,现代,0
128,YRI,古代_近期,5000
129,YRI,现代,0
130,YRI,现代,0
131,YRI,现代,0
132,YRI,现代,0
133,YRI,现代,0
134,YRI,现代,0
135,YRI,现代,0
136,YRI,现代,0
137,YRI,现代,0
138,YRI,现代,0
139,YRI,现代,0
140,YRI,现代,0
141,YRI,现代,0
142,YRI,现代,0
143,YRI,现代,0
144,YRI,现代,0
145,YRI,现代,0
146,YRI,现代,0
147,YRI,现代,0
148,YRI,现代,0
149,YRI,现代,0
150,YRI,现代,0
151,YRI,现代,0
152,YRI,现代,0
153,YRI,现代,0
